id1,id2,dt,tm,ch,int,log,realf,reald,fct
138,1,2037-11-12,09:00:00,A,18,FALSE,4.85039392951876,0.491358756553382,Y
947,1,2025-10-30,06:00:00,C,72,,68.9841078377795,0.414788939990103,Y
1446,1,2026-05-14,22:00:00,A,17,FALSE,29.7552675048355,0.846715339459479,Z
1596,1,2040-11-18,01:00:00,A,83,FALSE,71.6778268401977,0.594849240034819,Y
1787,1,2036-02-20,07:00:00,B,79,FALSE,58.0306594546419,0.125874371966347,Z
1907,1,2024-10-10,09:00:00,C,84,TRUE,77.2277677711099,0.248829864896834,X
2840,1,2024-07-30,22:00:00,A,41,TRUE,92.7170291368384,0.688938688719645,Z
3177,1,2034-10-09,16:00:00,D,87,FALSE,93.3904658025131,0.387822987511754,X
3310,1,2026-03-31,16:00:00,C,92,FALSE,41.2912658969872,0.0472516345325857,Y
3581,1,2040-07-17,00:00:00,C,78,FALSE,22.2497951558325,0.449721376411617,Z
3684,1,2049-10-08,21:00:00,D,51,TRUE,15.4962662404869,0.649720730027184,X
6788,1,2047-01-16,12:00:00,A,66,FALSE,70.4426981606521,0.160994781414047,Z
6935,1,2038-06-11,22:00:00,C,43,FALSE,74.2299815875013,0.819728981005028,X
7893,1,2041-03-10,16:00:00,C,96,TRUE,69.1661679651588,0.0127374122384936,Y
8562,1,2041-04-28,05:00:00,A,,TRUE,99.7752779468428,0.0427293931134045,Y
8876,1,2026-10-09,21:00:00,B,100,FALSE,37.6452948322985,0.828795177629218,X
9779,1,2048-06-29,02:00:00,A,33,FALSE,44.363551565446,0.0992882025893778,Z
9918,1,2036-07-24,18:00:00,A,43,TRUE,16.1932759883348,0.696972556645051,Y
259,2,2049-12-09,12:00:00,C,66,TRUE,88.7860271800309,0.0181492776609957,Y
428,2,2037-12-02,05:00:00,C,33,TRUE,33.6517520362977,0.810904198791832,X
1145,2,2043-11-04,02:00:00,B,98,TRUE,70.5216200172436,0.217253154143691,Z
1316,2,2034-03-12,15:00:00,D,84,TRUE,54.2616307756398,0.726041985908523,Y
1842,2,2038-04-12,11:00:00,D,54,FALSE,36.32222709083,0.474596720654517,X
2246,2,2024-08-07,23:00:00,C,14,FALSE,29.6683568751905,0.412681123241782,Z
2650,2,2048-01-26,03:00:00,D,26,FALSE,17.8117490941659,0.799532367382199,
3071,2,2043-11-11,09:00:00,C,38,,61.7277218003292,0.125249834032729,Z
3802,2,2036-09-09,00:00:00,B,66,FALSE,24.006885152543,0.90135519602336,Y
4492,2,2029-03-28,02:00:00,A,86,TRUE,11.4620047456119,0.505699046887457,Z
4546,2,2046-09-18,20:00:00,C,93,FALSE,24.5371682264376,0.816827003611252,Z
4572,2,2046-12-29,22:00:00,B,96,TRUE,54.3947863515932,0.253468697424978,Z
4642,2,2039-09-23,02:00:00,D,90,FALSE,93.5262225281913,0.221821086714044,Z
4955,2,2039-11-18,13:00:00,B,22,FALSE,42.653761086287,0.345433360897005,X
5055,2,2047-07-18,16:00:00,A,78,,69.3030680976808,0.803735223133117,X
5416,2,2043-03-01,15:00:00,B,57,FALSE,32.4922900132369,0.282854416407645,Z
6539,2,2048-09-14,07:00:00,A,38,TRUE,93.8619387866929,0.494156502420083,Y
